,Item name,Item Description,Item price,Item image url
0,Buy 1 Fiery Chicken Fillet Meal and Get 1 Fiery Chicken Fillet Sandwich,,AED 30.00,/assets/images/img-placeholder.svg
1,Buy 1 Fiery Chicken Royale Meal and Get 1 Fiery Chicken Royale Sandwich,,AED 28.00,/assets/images/img-placeholder.svg
2,Buy 1 Fiery Chicken Fillet Meal and Get 1 Fiery Chicken Royale Sandwich,,AED 30.00,/assets/images/img-placeholder.svg
3,Hot Chili Beef,"Flame-grilled Whopper patty topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun.
",AED 26.00,/assets/images/img-placeholder.svg
4,Hot Chili Double Beef,"Double flame-grilled Whopper patty topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun.
",AED 31.00,/assets/images/img-placeholder.svg
5,Hot Chili Chicken,"Delicious King Chicken fillet topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun.
",AED 26.00,/assets/images/img-placeholder.svg
6,Hot Chili Chicken Meal Medium,"Delicious King Chicken fillet topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun served with fries and a beverage.
",AED 31.00,/assets/images/img-placeholder.svg
7,Hot Chili Beef Meal,"Flame-grilled Whopper patty topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun served with fries and a beverage.
",AED 31.00,/assets/images/img-placeholder.svg
8,Hot Chili Chicken Meal Large,"Delicious King Chicken fillet topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun served with fries and a beverage.
",AED 31.00,/assets/images/img-placeholder.svg
9,Hot Chili Double Beef Meal,"Double flame-grilled Whopper patty topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun served with fries and a beverage.
",AED 36.00,/assets/images/img-placeholder.svg
10,Hot Chili Double Beef Meal Medium,"Double flame-grilled Whopper patty topped with Tabasco sauce and American cheese complemented by freshly cut lettuce, tomatoes, jalapeño slices, and onions, topped on a golden Brioche bun served with fries and a beverage.
",AED 36.00,/assets/images/img-placeholder.svg
