,Item name,Item Description,Item price,Item image url
0,Egg Benedict,"Poached egg, smoked salmon and hollandaise sauce. Served with rocca salad and french sauce.",AED 45.90,https://images.deliveryhero.io/image/talabat/Menuitems/eggsbenedict_637219317336019549.jpg?width=172&amp;height=172
1,French Breakfast,"Croissant, french toast, scrambled eggs, mixed fruits, orange juice and french press coffee.",AED 48.30,https://images.deliveryhero.io/image/talabat/Menuitems/french_breakfast-2_637219477874931203.jpg?width=172&amp;height=172
2,Shakshuka,"Poached eggs, onions, spices and tomato sauce.",AED 33.80,https://images.deliveryhero.io/image/talabat/Menuitems/shashuka4_637219805345463443.jpg?width=172&amp;height=172
3,French Toast,"Cinnamon, eggs, milk and vanilla.",AED 18.30,https://images.deliveryhero.io/image/talabat/Menuitems/WhatsApp_Image_2020-_637219714202112002.jpg?width=172&amp;height=172
4,Flat White,,AED 15.00,/assets/images/img-placeholder.svg
5,Pistachio Shake ,,AED 20.00,/assets/images/img-placeholder.svg
6,Mini Pizza,,AED 12.00,/assets/images/img-placeholder.svg
7,Spaghetti Bolognese,"Spaghetti pasta, minced meat and parmesan cheese.",AED 41.75,/assets/images/img-placeholder.svg
8,Alfredo Penne Pasta,"Chicken, mushrooms and alfredo sauce.",AED 36.75,/assets/images/img-placeholder.svg
9,  Croque Madame,"  Turkey, fried egg, cheddar cheese and Bechamel sauce.",AED 30.20,/assets/images/img-placeholder.svg
10,Beef Quesadilla,"Grilled beef, cheese mix and sour cream.",AED 35.00,/assets/images/img-placeholder.svg
11,Halloumi Zaatar Wrap,"Grilled halloumi cheese, zaatar, tomatoes and mint.",AED 30.20,/assets/images/img-placeholder.svg
12,Chicken Quesadilla,"Grilled chicken, mix cheese, capsicum and sour cream.",AED 36.75,/assets/images/img-placeholder.svg
13,Beef Quesadilla,"Grilled beef, cheese mix and sour cream.",AED 35.00,/assets/images/img-placeholder.svg
14,Grilled Chicken Sandwich,"Grilled chicken, mushrooms, tomatoes and cheddar cheese",AED 36.50,/assets/images/img-placeholder.svg
15,Mozzarella Cheese Panini,"Mozzarella cheese, sun-dried tomatoes and pesto.",AED 30.20,/assets/images/img-placeholder.svg
16,Mushroom Beef Steak Panini,"Beef steak, mushrooms, tomatoes and cheddar cheese.",AED 42.25,/assets/images/img-placeholder.svg
17,Club House Sandwich,"Chicken, eggs, cheese, lettuce, tomatoes and mayonnaise.",AED 42.25,/assets/images/img-placeholder.svg
18,Bechamel Toast,"Turkey, Bechamel, cheddar and Open toast bread.",AED 26.50,/assets/images/img-placeholder.svg
19,Classic Croissant,-,AED 12.00,/assets/images/img-placeholder.svg
20,Omelette Croissant With Turkey And Cheese,,AED 17.85,/assets/images/img-placeholder.svg
21,Palmier,,AED 12.00,/assets/images/img-placeholder.svg
22,Chicken Caesar Salad,"Grilled chicken, eggs, lettuce, parmesan cheese and special sauce.",AED 42.25,/assets/images/img-placeholder.svg
23,Mediterranean Quinoa Salad,"Quinoa, raisins, sweet capsicums, beetroots, rocca, feta cheese and soy sauce.",AED 48.30,/assets/images/img-placeholder.svg
24,Nicoise Salad,"Lettuce, tomatoes, potatoes, carrots, green beans, cucumbers, beetroots, eggs and french dressing.",AED 51.75,/assets/images/img-placeholder.svg
25,Tomato And Mozzarella Cheese Salad,"Tomatoes, mozzarella cheese, olive oil and pesto sauce.",AED 36.20,/assets/images/img-placeholder.svg
26,French Fries,,Price on Selection,/assets/images/img-placeholder.svg
27,Nutella Crepe, Banana with chocolate sauce.,AED 25.30,/assets/images/img-placeholder.svg
28,Cheese & Turkey, Turkey with cheddar cheese,AED 30.20,/assets/images/img-placeholder.svg
29,Nutella & Banana,,AED 30.20,/assets/images/img-placeholder.svg
30,Eclair,,AED 15.00,/assets/images/img-placeholder.svg
31,Cheesecake,,AED 19.32,/assets/images/img-placeholder.svg
32,Tiramisu Cake,,AED 21.00,/assets/images/img-placeholder.svg
33,Milk Cake,,AED 32.20,/assets/images/img-placeholder.svg
34,Cream Caramel,,AED 15.00,/assets/images/img-placeholder.svg
35,Brownies,,AED 18.10,/assets/images/img-placeholder.svg
36,Cocktail,,AED 22.00,/assets/images/img-placeholder.svg
37,Ginger Snap Mocktail,"Fresh ginger, apple, cinnamon, lime wedges and thomas henry soda. ",AED 26.25,/assets/images/img-placeholder.svg
38,Dragon Mojito Mocktail,"Raspberry and blackberry syrup, cinnamon, lime wedges and thomas henry soda. ",AED 26.25,/assets/images/img-placeholder.svg
39,Passion Fruit Mocktail,"Passion fruit, cinnamon, lime wedges and thomas henry soda. ",AED 26.25,/assets/images/img-placeholder.svg
40,Blueberry Cheesecake,,AED 19.32,/assets/images/img-placeholder.svg
41,Strawberry Cheesecake,,AED 19.32,/assets/images/img-placeholder.svg
42,Cookies Shakes,,AED 25.00,/assets/images/img-placeholder.svg
43,Pistachio Shake,,AED 26.25,/assets/images/img-placeholder.svg
44,Classic Milkshake,,AED 21.00,/assets/images/img-placeholder.svg
45,Iced Cappuccino,,AED 23.10,/assets/images/img-placeholder.svg
46,Iced Toffee With Nuts,,AED 26.25,/assets/images/img-placeholder.svg
47,Iced Spanish Latte,,AED 26.25,/assets/images/img-placeholder.svg
48,Iced Vanilla Latte,,AED 23.10,/assets/images/img-placeholder.svg
49,Iced Shaking Espresso,,AED 17.85,/assets/images/img-placeholder.svg
50,Karak Tea,,AED 16.80,/assets/images/img-placeholder.svg
51,Moroccan Tea,,AED 19.95,/assets/images/img-placeholder.svg
52,Three Color Coffee,,Price on Selection,/assets/images/img-placeholder.svg
53,Cappuccino,,Price on Selection,/assets/images/img-placeholder.svg
54,Latte,,Price on Selection,/assets/images/img-placeholder.svg
55,Mocha Latte,,Price on Selection,/assets/images/img-placeholder.svg
56,Espresso ,,Price on Selection,/assets/images/img-placeholder.svg
57,Americano,,Price on Selection,/assets/images/img-placeholder.svg
58,Flat White,,Price on Selection,/assets/images/img-placeholder.svg
59,Toffee Nuts ,,AED 26.25,/assets/images/img-placeholder.svg
60,Hot Chocolate,,Price on Selection,/assets/images/img-placeholder.svg
61,Cardamom Cappuccino,,Price on Selection,/assets/images/img-placeholder.svg
62,Saffron Cappuccino,,Price on Selection,/assets/images/img-placeholder.svg
63,French Press,,AED 19.95,/assets/images/img-placeholder.svg
64,Decaffeinated Coffee,,Price on Selection,/assets/images/img-placeholder.svg
65,Turkish Coffee,,Price on Selection,/assets/images/img-placeholder.svg
